,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_creditcard,0.969509182,0.722859483,0.689749417,0.213301473,0.779926185,0.97078631,0.744601346,0.410992063,0.426214871,0.800759518,0.956834724,0.748326309,0.477539682,0.268430184,0.800112665,0.739796327,0.371366667,0.508745421,0.525412088,0.525412088,0.764771285,0.398177273,0.573368437,0.573368437,0.573368437,0.94260601,0.71955,0.549415584,0.137439179,0.803192641,0.943779633,0.776420901,0.300396825,0.179794205,0.84979798,0.938569282,0.770797197,0.478506493,0.167475876,0.848512044,0.942951586,0.495107241,0.305540086,0.181640503,0.64119228,0.818612688,0.371473756,0.08218155,0.13982301,0.249042682,0.94454424,0.034366256,0.042280177,0.03534642,0.047593261,0.886335559,0.522737709,0.573023926,0.523378296,0.616065862,0.835343906,0.344931436,0.377132385,0.32698049,0.421007997
korean5,0.928648074,0.769501593,0.78389001,0.615328693,0.823069697,0.923464535,0.795151083,0.719907826,0.765586497,0.815063983,0.930626852,0.800186177,0.7184602,0.739637643,0.82217537,0.917683539,0.735923617,0.807685006,0.743222766,0.829199076,0.914011567,0.742679556,0.805275466,0.713952778,0.833736655,0.903544116,0.671540798,0.637968349,0.235694951,0.694329557,0.925082449,0.800358726,0.598423627,0.474354378,0.812520405,0.923232722,0.7823381,0.697875165,0.416114936,0.802486356,0.730147691,0.164127104,0.136554104,0.120042063,0.298620073,0.552487812,0.068708924,0,0,0.10187611,0.67115835,0.083411649,0.062870121,0.091989599,0.148739224,0.69190326,0.154371207,0.143705049,0.106097968,0.22610267,0.693834241,0.156329953,0.143735666,0.095148086,0.226444692
mammography,0.891413823,0.630429145,0.620406409,0.499611819,0.658581278,0.913413213,0.645839936,0.531841681,0.618637831,0.65706179,0.921229156,0.641836256,0.521009851,0.576962023,0.651897841,0.858067406,0.485740778,0.437917607,0.345784587,0.577561826,0.857585568,0.478790466,0.442791165,0.33681854,0.553183832,0.92875707,0.609072994,0.586195399,0.128131642,0.628741144,0.929983423,0.689515988,0.470580117,0.394926133,0.681368632,0.931006095,0.680833686,0.580918913,0.356013426,0.673238382,0.90953096,0.270339153,0.265662272,0.157214229,0.443261146,0.891928693,0.543329286,0.019469009,0.042546246,0.128217845,0.890803145,0.292812967,0.202454355,0.127991239,0.27184625,0.907416017,0.601530031,0.60937417,0.232434804,0.631015236,0.911174183,0.535491304,0.279637906,0.049421489,0.593697283
piechart2,0.741324201,0.109970472,0.088023088,0.111046706,0.216864169,0.748424658,0.103760239,0,0.116530957,0.166729535,0.759817352,0.125799154,0,0.12917363,0.219742596,0.572625571,0.044101152,0.025,0.107860165,0.118209002,0.583881279,0.060136087,0.055952381,0.11517764,0.131764942,0.746210046,0.116267583,0.064967533,0.101492996,0.214834501,0.71956621,0.077517585,0,0.102184145,0.165056619,0.718972603,0.095575283,0,0.109425648,0.189393073,0.791392694,0.10919789,0.097796058,0.053476676,0.212290066,0.512100457,0.079829652,0,0.002336449,0.028646465,0.644931507,0.060858389,0.067570288,0.075197933,0.081896538,0.66739726,0.061833543,0.081596821,0.076825741,0.085864331,0.684292237,0.09320628,0.089007757,0.08369878,0.134340878
pizzacutter1,0.774547473,0.308199046,0.323382049,0.314537442,0.376074467,0.803218921,0.369005967,0.250772179,0.334271598,0.42624504,0.797233606,0.360785858,0.207517088,0.352490553,0.410741535,0.678825137,0.178086328,0.12632412,0.247394564,0.263153522,0.684921448,0.178471824,0.13019275,0.252543104,0.269243052,0.844783128,0.363778614,0.323245264,0.297012323,0.43748158,0.833820014,0.380123585,0.129096516,0.340607288,0.447044482,0.83266735,0.383787709,0.278692223,0.310791655,0.44472413,0.844834358,0.2866447,0.339922734,0.225672768,0.414050973,0.666103142,0.304512488,0.026648427,0.141964013,0.280064002,0.696627391,0.161766069,0.251903389,0.250065389,0.261976754,0.770449112,0.284045903,0.310945033,0.295228597,0.350756264,0.784904372,0.33144497,0.305137648,0.265193541,0.389392611
satellite,0.939947257,0.699095105,0.632104165,0.477515793,0.702345349,0.959526848,0.757340204,0.653466049,0.664890232,0.748534063,0.95887563,0.765681406,0.671380177,0.635663735,0.742290686,0.795461465,0.467110919,0.577251816,0.294463749,0.637632659,0.784136271,0.457621608,0.605946911,0.279132618,0.618388315,0.980465002,0.754491951,0.683742599,0.151871542,0.726421093,0.971984562,0.802304163,0.592625746,0.349242893,0.776558553,0.975197595,0.807311063,0.68632078,0.302753772,0.783449631,0.992294563,0.72417316,0.381056477,0.102794956,0.756425811,0.958509657,0.71768364,0.489049674,0.123792534,0.67439312,0.740017991,0.061411118,0.05888649,0.057364274,0.062553917,0.955002922,0.68253396,0.64310735,0.461368689,0.699496886,0.96582913,0.755425068,0.548352988,0.199520884,0.732005003
winequality,0.682792295,0.093898244,0.119107782,0.116977887,0.177233002,0.698316272,0.095066864,0.005263158,0.096323619,0.164681977,0.693770205,0.09215715,0.011145511,0.105696162,0.157811143,0.603613281,0.065209907,0.011111111,0.111823829,0.142365286,0.605977236,0.065535374,0.024549846,0.112002464,0.140072905,0.744989224,0.100203734,0.082728445,0.099748785,0.197907761,0.742322198,0.11629372,0,0.172485638,0.212640419,0.729562904,0.111979886,0,0.145793492,0.214651773,0.759873384,0.12100163,0.128669665,0.077198064,0.245398043,0.514426185,0.056324481,0,0.033846068,0.082439454,0.604562904,0.079673137,0.076853089,0.079110898,0.107098898,0.743857759,0.153192987,0.152251169,0.084596979,0.24557896,0.74179014,0.151513948,0.140294253,0.066127251,0.264317878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f1_max_srf_puhd,f1_max_rf_puhd,f1_max_rf,f1_max_dt_puhd,f1_max_dt_hd,f1_max_upu,f1_max_nnpu,f1_max_imbnnpu,f1_max_pubag,f1_max_elkno,f1_max_spyem,f1_max_welog,f1_max_rnkpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chile,0.670495641,0.659793102,0.627395455,0.464354278,0.462519235,0.609673062,0.656852766,0.653177025,0.463369428,0.26147915,0.129635252,0.432923113,0.439315452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover,0.948446055,0.946272397,0.936109099,0.888506186,0.882543842,0.916620909,0.938663075,0.943201518,0.908387436,0.926137444,0.484696157,0.918777979,0.927509773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_car_insur,0.266469447,0.268472013,0.251262077,0.255793914,0.254314621,0.265903334,0.256999872,0.256527402,0.22546202,0.141406199,0.142782328,0.270492794,0.266668317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraud_creditcard,0.848512044,0.84979798,0.803192641,0.573368437,0.525412088,0.779926185,0.800759518,0.800112665,0.64119228,0.249042682,0.047593261,0.421007997,0.616065862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
korean5,0.802486356,0.812520405,0.694329557,0.833736655,0.829199076,0.823069697,0.815063983,0.82217537,0.298620073,0.10187611,0.148739224,0.226444692,0.22610267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mammography,0.673238382,0.681368632,0.628741144,0.553183832,0.577561826,0.658581278,0.65706179,0.651897841,0.443261146,0.128217845,0.27184625,0.593697283,0.631015236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piechart2,0.189393073,0.165056619,0.214834501,0.131764942,0.118209002,0.216864169,0.166729535,0.219742596,0.212290066,0.028646465,0.081896538,0.134340878,0.085864331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizzacutter1,0.44472413,0.447044482,0.43748158,0.269243052,0.263153522,0.376074467,0.42624504,0.410741535,0.414050973,0.280064002,0.261976754,0.389392611,0.350756264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satellite,0.783449631,0.776558553,0.726421093,0.618388315,0.637632659,0.702345349,0.748534063,0.742290686,0.756425811,0.67439312,0.062553917,0.732005003,0.699496886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winequality,0.214651773,0.212640419,0.197907761,0.140072905,0.142365286,0.177233002,0.164681977,0.157811143,0.245398043,0.082439454,0.107098898,0.264317878,0.24557896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
